0.16, 4, red, Entry
0.16, 2, red, Entry
0.46, 3, red, Entry
0.46, 1, red, Entry
0.46, 2, red, Entry
0.46, 2, red, Entry
0.66, 2, red, Entry
0.83, 4, red, Entry
0.83, 1, red, Entry
0.83, 2, red, Entry
1.00, 3, red, Entry
1.00, 4, red, Entry
1.00, 2, red, Entry
1.00, 1, red, Entry
1.00, 2, red, Entry
1.00, 2, yellow, Entry
1.17, 2, red, Entry
1.17, 1, red, Entry
1.17, 1, red, Entry
1.17, 2, yellow, Entry
1.34, 3, red, Entry
1.34, 3, red, Entry
1.34, 2, red, Entry
1.34, 1, red, Entry
1.34, 1, red, Entry
1.34, 2, yellow, Entry
1.50, 4, red, Entry
1.50, 2, red, Exit
1.50, 1, red, Entry
1.50, 2, yellow, Exit
1.69, 4, red, Entry
1.69, 3, red, Entry
1.69, 1, red, Entry
1.69, 1, red, Entry
1.69, 2, yellow, Entry
1.87, 4, red, Entry
1.87, 3, red, Entry
1.87, 1, red, Entry
1.87, 2, yellow, Exit
2.06, 3, red, Entry
2.06, 1, red, Entry
2.06, 1, red, Entry
2.06, 2, yellow, Exit
2.35, 3, red, Entry
2.35, 3, red, Entry
2.35, 3, red, Entry
2.35, 1, red, Entry
2.35, 1, red, Entry
2.35, 1, red, Entry
2.35, 2, yellow, Exit
2.58, 3, red, Entry
2.58, 3, red, Entry
2.58, 1, red, Entry
2.58, 1, red, Entry
2.58, 2, yellow, Exit
2.82, 3, red, Entry
2.82, 1, red, Entry
2.82, 1, red, Entry
2.82, 2, yellow, Entry
3.04, 1, red, Entry
3.04, 1, red, Entry
3.04, 2, yellow, Exit
3.23, 4, red, Entry
3.23, 1, red, Entry
3.23, 2, red, Entry
3.23, 1, red, Entry
3.23, 2, yellow, Exit
3.40, 3, red, Entry
3.40, 3, red, Entry
3.40, 1, red, Entry
3.40, 2, red, Entry
3.40, 2, yellow, Exit
3.56, 3, red, Entry
3.56, 4, red, Entry
3.56, 3, red, Entry
3.56, 2, red, Entry
3.56, 1, red, Entry
3.56, 1, red, Entry
3.56, 2, yellow, Exit
3.71, 3, red, Entry
3.71, 1, red, Entry
3.71, 1, red, Entry
3.71, 2, yellow, Exit
